ID,MonthlyIncome
S10675,13347.6
S10676,4858.212
S10677,14188.943
S10678,12901.36
S10679,15486.241
S10680,14769.3545
S10681,14283.356
S10682,13458.857
S10683,15540.292
S10684,15253.709
S10685,15134.03
S10686,15013.459
S10687,12500.571
S10688,14957.214
S10689,15116.747
S10690,15423.261
S10691,15046.326
S10692,14452.697
S10693,11608.153
S10694,15697.111
S10695,15281.226
S10696,15373.626
S10697,13238.802
S10698,12678.335
S10699,9708.563
S10700,12529.995
S10701,14232.568
S10702,16491.332
S10703,14452.513
S10704,14142.699
S10705,15143.523
S10706,13350.834
S10707,15078.316
S10708,14560.627
S10709,16987.484
S10710,12349.837
S10711,14490.126
S10712,12048.858
S10713,16227.431
S10714,15543.657
S10715,14505.851
S10716,14993.251
S10717,12391.841
S10718,16908.215
S10719,13446.612
S10720,14102.284
S10721,12755.884
S10722,13318.334
S10723,14199.959
S10724,13743.433
S10725,15280.821
S10726,12963.725
S10727,15120.978
S10728,10052.529
S10729,13871.135
S10730,14308.387
S10731,13466.565
S10732,13279.382
S10733,15334.945
S10734,21521.643
S10735,16082.196
S10736,11627.665
S10737,17003.48
S10738,16926.082
S10739,10690.385
S10740,8959.905
S10741,15427.066
S10742,16384.586
S10743,16992.828
S10744,14069.735
S10745,12246.387
S10746,13503.761
S10747,16006.688
S10748,12405.798
S10749,17804.285
S10750,14132.356
S10751,12009.972
S10752,10650.946
S10753,13743.776
S10754,14829.644
S10755,13964.319
S10756,13887.296
S10757,15709.536
S10758,14156.743
S10759,13410.535
S10760,16086.144
S10761,12286.15
S10762,11941.446
S10763,12103.759
S10764,15148.092
S10765,18914.852
S10766,15961.129
S10767,10105.939
S10768,14123.372
S10769,14766.936
S10770,14262.206
S10771,17855.906
S10772,10891.771
S10773,16920.967
S10774,15469.348
S10775,13003.914
S10776,15466.177
S10777,14091.19
S10778,15225.112
S10779,14859.831
S10780,12808.475
S10781,15546.621
S10782,12248.217
S10783,16011.0625
S10784,9830.211
S10785,15492.8545
S10786,15428.637
S10787,16614.346
S10788,4591.6626
S10789,14936.619
S10790,15271.022
S10791,14925.849
S10792,13668.684
S10793,9329.353
S10794,17320.307
S10795,14791.6045
S10796,14741.776
S10797,13982.309
S10798,14215.1455
S10799,12124.293
S10800,14300.39
S10801,3740.0903
S10802,22529.875
S10803,14899.573
S10804,15352.101
S10805,13032.091
S10806,3819.6567
S10807,21701.434
S10808,13253.169
S10809,14801.904
S10810,13484.09
S10811,8275.9
S10812,15708.738
S10813,15541.55
S10814,15743.901
S10815,15611.086
S10816,15031.833
S10817,15342.071
S10818,11586.658
S10819,14081.523
S10820,12904.745
S10821,15321.578
S10822,12500.303
S10823,14156.937
S10824,15288.379
S10825,12992.157
S10826,17603.908
S10827,17385.332
S10828,14440.534
S10829,13897.025
S10830,13789.816
S10831,15909.353
S10832,15667.087
S10833,13299.454
S10834,12644.281
S10835,9691.446
S10836,15906.68
S10837,12844.431
S10838,16430.027
S10839,13044.124
S10840,16173.449
S10841,15440.237
S10842,17618.418
S10843,13800.925
S10844,13804.851
S10845,15410.47
S10846,15640.316
S10847,15897.773
S10848,13723.674
S10849,15799.17
S10850,13231.124
S10851,11407.833
S10852,13622.364
S10853,13963.166
S10854,14415.327
S10855,13596.73
S10856,12958.992
S10857,17058.475
S10858,18105.17
S10859,15241.808
S10860,13336.982
S10861,14701.155
S10862,14752.634
S10863,16565.553
S10864,14517.256
S10865,15429.315
S10866,14651.344
S10867,11028.412
S10868,15358.098
S10869,15996.484
S10870,16287.67
S10871,3959.0957
S10872,13990.195
S10873,10704.366
S10874,13792.472
S10875,12641.759
S10876,13810.586
S10877,16724.387
S10878,3767.2532
S10879,13348.19
S10880,15334.505
S10881,16497.275
S10882,14526.85
S10883,14465.769
S10884,14566.324
S10885,13998.1045
S10886,13607.571
S10887,14552.607
S10888,12964.709
S10889,16012.218
S10890,11864.99
S10891,14421.351
S10892,14568.155
S10893,13159.198
S10894,16883.746
S10895,13957.892
S10896,15942.234
S10897,12237.497
S10898,10802.324
S10899,17387.066
S10900,16184.265
S10901,14444.039
S10902,15417.843
S10903,16232.984
S10904,11034.374
S10905,15529.725
S10906,10693.161
S10907,11657.017
S10908,8708.726
S10909,15317.205
S10910,14116.75
S10911,18381.271
S10912,13759.611
S10913,14982.879
S10914,14895.103
S10915,22008.908
S10916,14750.119
S10917,14149.76
S10918,15644.996
S10919,11352.507
S10920,15243.962
S10921,16823.297
S10922,15643.816
S10923,10372.357
S10924,16432.422
S10925,13503.997
S10926,13682.654
S10927,16456.496
S10928,16405.574
S10929,15304.476
S10930,14585.802
S10931,14896.537
S10932,15466.344
S10933,14563.183
S10934,13539.106
S10935,14119.104
S10936,15387.611
S10937,12453.141
S10938,15537.629
S10939,15869.481
S10940,12981.979
S10941,14207.035
S10942,14846.049
S10943,9813.572
S10944,17610.83
S10945,18431.98
S10946,17930.936
S10947,14713.598
S10948,14195.813
S10949,12652.285
S10950,18186.441
S10951,13062.419
S10952,23223.352
S10953,15146.322
S10954,15540.742
S10955,12905.427
S10956,22115.71
S10957,11372.449
S10958,18152.867
S10959,12648.782
S10960,13891.058
S10961,11466.541
S10962,14620.861
S10963,15018.275
S10964,13622.743
S10965,17772.682
S10966,15024.026
S10967,13474.601
S10968,12485.082
S10969,12943.224
S10970,15987.179
S10971,12390.707
S10972,15398.33
S10973,14828.797
S10974,12075.953
S10975,15319.426
S10976,12344.011
S10977,5414.3267
S10978,15676.851
S10979,14033.737
S10980,13081.623
S10981,14152.805
S10982,13241.067
S10983,14239.584
S10984,17266.438
S10985,12886.314
S10986,14056.373
S10987,16778.895
S10988,15592.197
S10989,17344.867
S10990,14994.929
S10991,16417.084
S10992,16419.71
S10993,13456.442
S10994,13305.12
S10995,12684.424
S10996,13177.297
S10997,14899.385
S10998,10484.507
S10999,13516.935
S11000,13857.146
S11001,16109.4795
S11002,11175.803
S11003,14012.4375
S11004,14015.57
S11005,13845.357
S11006,13835.85
S11007,11728.099
S11008,13749.909
S11009,14817.119
S11010,14804.614
S11011,14501.344
S11012,14398.373
S11013,15903.771
S11014,16098.02
S11015,14506.768
S11016,15571.409
S11017,17468.574
S11018,13442.411
S11019,13279.407
S11020,12219.249
S11021,14070.512
S11022,13043.739
S11023,12545.741
S11024,14038.558
S11025,14728.285
S11026,11814.726
S11027,15739.91
S11028,13988.874
S11029,15305.922
S11030,14044.569
S11031,14434.842
S11032,15230.8955
S11033,13566.526
S11034,13858.362
S11035,15719.62
S11036,14303.575
S11037,5673.2188
S11038,13577.902
S11039,13279.263
S11040,15269.335
S11041,14597.658
S11042,14169.325
S11043,13113.4795
S11044,15209.701
S11045,17017.441
S11046,15145.484
S11047,12537.276
S11048,14032.005
S11049,14459.427
S11050,14205.691
S11051,9392.118
S11052,16439.844
S11053,13367.788
S11054,10986.803
S11055,13954.266
S11056,15831.684
S11057,12382.332
S11058,16357.583
S11059,14258.746
S11060,12837.543
S11061,15515.3545
S11062,16634.56
S11063,10252.179
S11064,11231.134
S11065,16332.91
S11066,15790.277
S11067,14991.732
S11068,11885.289
S11069,13528.809
S11070,13734.417
S11071,13397.886
S11072,13489.707
S11073,13181.295
S11074,15166.01
S11075,12739.747
S11076,23361.508
S11077,13539.983
S11078,14784.919
S11079,16738.027
S11080,13002.426
S11081,14715.048
S11082,3349.3333
S11083,12317.381
S11084,15562.772
S11085,16186.371
S11086,14695.489
S11087,12056.943
S11088,14547.417
S11089,15667.638
S11090,15098.936
S11091,13778.691
S11092,16938.332
S11093,13222.138
S11094,15068.293
S11095,18319.629
S11096,14355.826
S11097,12835.435
S11098,13739.598
S11099,14563.491
S11100,14321.974
S11101,14151.1875
S11102,16465.574
S11103,14242.781
S11104,16731.246
S11105,14165.502
S11106,13542.179
S11107,16194.402
S11108,14621.408
S11109,13004.573
S11110,15923.979
S11111,17478.81
S11112,15786.523
S11113,16537.65
S11114,12579.3125
S11115,3482.6707
S11116,13524.22
S11117,13086.603
S11118,15322.011
S11119,15405.626
S11120,14968.973
S11121,13289.689
S11122,17120.814
S11123,13898.735
S11124,15829.874
S11125,13644.784
S11126,11660.857
S11127,13590.943
S11128,15189.705
S11129,15796.349
S11130,13232.149
S11131,15958.303
S11132,11935.9795
S11133,20355.146
S11134,11235.45
S11135,16749.18
S11136,13911.926
S11137,14066.343
S11138,14232.395
S11139,15405.261
S11140,12903.013
S11141,13345.116
S11142,13365.419
S11143,14529.278
S11144,15546.751
S11145,14965.581
S11146,14054.736
S11147,14141.1
S11148,15302.178
S11149,13419.814
S11150,13133.953
S11151,17179.854
S11152,13290.757
S11153,14016.512
S11154,14334.612
S11155,13879.715
S11156,12237.826
S11157,9785.771
S11158,14209.561
S11159,17443.715
S11160,13241.848
S11161,11634.525
S11162,13681.11
S11163,12536.1875
S11164,21426.459
S11165,14374.43
S11166,15184.376
S11167,15719.621
S11168,13121.8125
S11169,12274.047
S11170,15418.142
S11171,13967.297
S11172,13452.2
S11173,14471.31
S11174,13820.296
S11175,13084.743
S11176,15139.578
S11177,4642.56
S11178,13843.219
S11179,15571.212
S11180,15950.541
S11181,16026.928
S11182,15747.669
S11183,16242.813
S11184,15367.979
S11185,12652.482
S11186,18712.734
S11187,13617.759
S11188,12962.664
S11189,15251.072
S11190,16228.258
S11191,14954.774
S11192,14544.304
S11193,14150.862
S11194,14531.6875
S11195,20344.834
S11196,12126.795
S11197,12909.103
S11198,14419.119
S11199,14841.791
S11200,15541.269
S11201,13835.721
S11202,15716.008
S11203,11711.324
S11204,13598.478
S11205,13737.831
S11206,13498.827
S11207,18448.797
S11208,3953.176
S11209,15361.725
S11210,13909.198
S11211,16053.0
S11212,12475.014
S11213,13363.531
S11214,18452.059
S11215,14565.284
S11216,13988.61
S11217,16076.1045
S11218,17130.285
S11219,13710.0
S11220,13171.436
S11221,15825.085
S11222,15840.673
S11223,16491.438
S11224,13865.361
S11225,14528.387
S11226,14738.558
S11227,14216.9
S11228,13490.338
S11229,16100.683
S11230,12766.135
S11231,14796.286
S11232,15316.329
S11233,15291.914
S11234,17598.93
S11235,14088.176
S11236,15692.148
S11237,15564.276
S11238,10605.703
S11239,12779.969
S11240,16157.408
S11241,14571.135
S11242,15725.102
S11243,13661.514
S11244,14601.866
S11245,15619.375
S11246,13713.889
S11247,13335.882
S11248,14474.746
S11249,15989.253
S11250,14245.295
S11251,11828.074
S11252,14694.459
S11253,13455.458
S11254,13216.096
S11255,14063.971
S11256,13473.224
S11257,15790.106
S11258,14758.0205
S11259,17670.521
S11260,14811.683
S11261,14716.135
S11262,10720.457
S11263,13886.99
S11264,16094.463
S11265,14321.459
S11266,12823.569
S11267,15463.883
S11268,16870.293
S11269,17508.723
S11270,14475.224
S11271,14805.634
S11272,16938.592
S11273,15280.18
S11274,18767.129
S11275,16855.453
S11276,14714.173
S11277,13504.525
S11278,16278.343
S11279,15401.182
S11280,15825.858
S11281,16394.166
S11282,13304.048
S11283,14264.059
S11284,15257.994
S11285,13397.858
S11286,12184.651
S11287,12183.873
S11288,17064.484
S11289,15208.973
S11290,12818.494
S11291,14882.564
S11292,13473.309
S11293,15681.824
S11294,12721.327
S11295,12062.654
S11296,14184.546
S11297,12732.315
S11298,15216.589
S11299,15780.3
S11300,15298.995
S11301,13447.782
S11302,14330.958
S11303,14728.982
S11304,14951.881
S11305,16039.141
S11306,10181.046
S11307,15417.339
S11308,13993.406
S11309,14558.018
S11310,16279.23
S11311,13705.744
S11312,15797.848
S11313,16699.148
S11314,14403.206
S11315,13796.96
S11316,15699.831
S11317,15082.907
S11318,16558.9
S11319,15674.873
S11320,10527.109
S11321,17723.047
S11322,10658.73
S11323,15379.595
S11324,12650.498
S11325,18240.955
S11326,13006.596
S11327,12079.284
S11328,14383.6045
S11329,12707.406
S11330,12466.312
S11331,12624.306
S11332,15909.448
S11333,12929.697
S11334,11654.587
S11335,12557.243
S11336,20465.621
S11337,14107.527
S11338,12364.521
S11339,15333.692
S11340,11032.266
S11341,18129.586
S11342,12741.723
S11343,14591.487
S11344,13172.922
S11345,13454.851
S11346,16207.065
S11347,15660.737
S11348,14465.452
S11349,10019.735
S11350,12101.013
S11351,13848.235
S11352,14187.051
S11353,20101.932
S11354,16415.256
S11355,17388.55
S11356,16736.055
S11357,12451.8125
S11358,17581.47
S11359,14659.594
S11360,13727.1875
S11361,13932.546
S11362,14242.357
S11363,14934.509
S11364,16556.06
S11365,16821.986
S11366,15155.204
S11367,18056.541
S11368,14373.435
S11369,12045.912
S11370,16345.186
S11371,16021.755
S11372,13435.724
S11373,14694.599
S11374,13999.758
S11375,3803.3994
S11376,10636.372
S11377,15819.3
S11378,12921.65
S11379,16869.713
S11380,11613.434
S11381,14228.512
S11382,15305.078
S11383,16622.527
S11384,12698.731
S11385,15861.486
S11386,14369.144
S11387,13655.116
S11388,14699.195
S11389,13520.119
S11390,15531.826
S11391,15291.562
S11392,17216.396
S11393,12489.2295
S11394,13978.562
S11395,15306.781
S11396,11517.28
S11397,14633.384
S11398,13681.477
S11399,4121.8994
S11400,13122.496
S11401,15284.574
S11402,7566.759
S11403,15571.973
S11404,12620.577
S11405,12750.109
S11406,11110.024
S11407,14782.628
S11408,13862.89
S11409,12983.195
S11410,15141.973
S11411,15898.998
S11412,15470.823
S11413,15748.552
S11414,8777.51
S11415,15738.792
S11416,15215.372
S11417,10004.925
S11418,14949.61
S11419,12833.226
S11420,14432.721
S11421,15826.643
S11422,13211.847
S11423,12139.706
S11424,15478.887
S11425,15438.437
S11426,14681.569
S11427,16946.564
S11428,14444.667
S11429,14781.576
S11430,17659.914
S11431,13572.14
S11432,14287.749
S11433,13367.512
S11434,10616.122
S11435,13018.108
S11436,15337.328
S11437,16235.164
S11438,10446.745
S11439,15276.761
S11440,14503.705
S11441,12902.084
S11442,13457.364
S11443,13750.266
S11444,13382.491
S11445,13844.007
S11446,16699.2
S11447,14056.852
S11448,10235.302
S11449,14291.899
S11450,13762.059
S11451,13766.243
S11452,16226.906
S11453,15356.044
S11454,11090.905
S11455,16779.14
S11456,10804.571
S11457,13608.948
S11458,15202.792
S11459,15049.311
S11460,14846.469
S11461,11968.386
S11462,14913.449
S11463,11421.657
S11464,10589.763
S11465,14664.976
S11466,13358.546
S11467,14201.363
S11468,11713.514
S11469,20393.664
S11470,13646.162
S11471,13768.35
S11472,13937.555
S11473,16431.6
S11474,10604.034
S11475,16323.397
S11476,15322.2295
S11477,13391.611
S11478,11714.773
S11479,14789.467
S11480,18181.98
S11481,19740.676
S11482,14605.235
S11483,13454.169
S11484,14296.949
S11485,15595.185
S11486,14161.762
S11487,15333.208
S11488,13259.296
S11489,14089.024
S11490,13384.328
S11491,15035.315
S11492,12545.224
S11493,14257.65
S11494,13701.748
S11495,16144.661
S11496,13525.002
S11497,15532.475
S11498,15221.556
S11499,12840.65
S11500,11261.319
S11501,14880.941
S11502,14389.435
S11503,14491.482
S11504,14434.751
S11505,16223.094
S11506,15514.729
S11507,16156.216
S11508,14435.802
S11509,14115.393
S11510,12253.383
S11511,13333.522
S11512,14364.859
S11513,15069.389
S11514,11312.032
S11515,21290.73
S11516,12939.421
S11517,15949.943
S11518,15983.238
S11519,13447.473
S11520,12911.403
S11521,14970.864
S11522,13898.964
S11523,13880.412
S11524,11184.704
S11525,8253.238
S11526,13949.152
S11527,13428.752
S11528,14716.288
S11529,16023.452
S11530,14500.96
S11531,13238.729
S11532,14430.055
S11533,14003.152
S11534,12504.904
S11535,9777.363
S11536,15196.202
S11537,13984.693
S11538,15977.391
S11539,18936.1
S11540,14844.352
S11541,15596.282
S11542,11747.411
S11543,15745.319
S11544,13826.46
S11545,9791.08
S11546,17893.625
S11547,18006.088
S11548,11607.586
S11549,13373.026
S11550,15492.556
S11551,14619.585
S11552,13111.176
S11553,5241.5645
S11554,14996.606
S11555,13684.114
S11556,14385.808
S11557,14091.011
S11558,15718.919
S11559,16761.123
S11560,13370.767
S11561,13502.158
S11562,15820.618
S11563,11055.606
S11564,14990.821
S11565,14632.036
S11566,13009.5
S11567,12540.508
S11568,15210.568
S11569,13600.915
S11570,15528.434
S11571,15145.726
S11572,13706.356
S11573,10044.175
S11574,15595.987
S11575,11706.554
S11576,13544.95
S11577,15505.542
S11578,15265.256
S11579,13738.435
S11580,12048.043
S11581,13543.463
S11582,13655.171
S11583,13668.108
S11584,16567.877
S11585,14300.421
S11586,12418.403
S11587,13212.666
S11588,11552.296
S11589,12149.354
S11590,13157.92
S11591,14423.977
S11592,13180.321
S11593,14218.777
S11594,18289.479
S11595,14950.297
S11596,12787.712
S11597,13143.133
S11598,16361.621
S11599,14116.509
S11600,13944.471
S11601,14486.587
S11602,15521.67
S11603,15596.945
S11604,12903.056
S11605,11991.246
S11606,12609.575
S11607,16596.934
S11608,11619.204
S11609,15865.555
S11610,16043.504
S11611,14507.87
S11612,12339.537
S11613,12545.072
S11614,13818.524
S11615,13456.166
S11616,11698.344
S11617,14181.955
S11618,15717.374
S11619,11668.267
S11620,15508.769
S11621,16178.356
S11622,14168.508
S11623,14107.106
S11624,13756.473
S11625,14513.279
S11626,13124.0205
S11627,3744.9277
S11628,16513.62
S11629,15682.004
S11630,11272.702
S11631,14525.061
S11632,11773.247
S11633,9998.532
S11634,15927.484
S11635,13691.722
S11636,17977.135
S11637,16023.766
S11638,12110.183
S11639,13824.51
S11640,14791.639
S11641,14812.923
S11642,14009.081
S11643,15747.93
S11644,11992.401
S11645,10480.418
S11646,15166.572
S11647,15761.273
S11648,13202.572
S11649,12732.315
