ID,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome,Attrition
S15,31,Travel_Frequently,Sales,11,Bachelor,,Medium,Female,High,2,Sales Executive,High,Divorced,1,No,11.0,Excellent,Medium,80,0,7.0,3,Good,5.0,2,0.0,3.0,13359.82,Yes
S16,56,Non-Travel,,0,Bachelor,,Very High,,High,2,Sales Executive,Medium,Divorced,-2,No,12.0,Excellent,Low,80,1,24.0,3,Better,24.0,9,0.0,,15335.53,No
S17,60,Travel_Frequently,Sales,28,Bachelor,Marketing,High,Male,Medium,3,Sales Executive,Low,Married,4,No,19.0,Excellent,Very High,80,0,22.0,5,Best,18.0,13,13.0,11.0,8230.19,No
S18,33,Travel_Rarely,Sales,8,Bachelor,Life Sciences,,,High,2,Sales Executive,Low,Single,0,Yes,16.0,Excellent,,80,0,6.0,2,Good,5.0,2,0.0,3.0,15460.77,No
S19,29,Travel_Frequently,Sales,2,,Life Sciences,Medium,Female,High,2,Sales Executive,Very High,Single,1,No,18.0,Excellent,Low,80,0,10.0,3,Good,10.0,7,0.0,9.0,16248.63,No
S20,23,Travel_Frequently,Research & Development,1,Below College,Other,Medium,Female,Medium,1,Laboratory Technician,Very High,Divorced,0,No,14.0,Excellent,High,80,1,,2,Better,3.0,2,2.0,2.0,13874.23,No
S21,38,Travel_Rarely,Research & Development,2,,Life Sciences,High,,Medium,3,Manufacturing Director,Medium,Divorced,3,No,16.0,Excellent,Medium,80,1,19.0,2,Better,11.0,8,8.0,5.0,14641.87,No
S22,32,Non-Travel,Research & Development,1,Master,Other,High,Female,High,2,Research Scientist,Low,Married,4,No,13.0,Excellent,Medium,80,1,8.0,2,Good,5.0,4,0.0,1.0,13542.26,Yes
S23,41,Non-Travel,Human Resources,2,Master,Medical,High,Male,High,2,Human Resources,Low,Married,6,No,15.0,Excellent,Low,80,1,9.0,2,Best,4.0,3,0.0,3.0,14484.08,No
S24,31,Travel_Frequently,Sales,2,Master,Other,Very High,Female,High,2,Sales Executive,Low,Single,7,No,13.0,Excellent,Very High,80,0,10.0,3,,5.0,2,0.0,3.0,19373.12,No
S25,30,Travel_Frequently,,2,Bachelor,,High,Male,Medium,1,Research Scientist,High,Single,1,Yes,14.0,Excellent,Medium,80,0,8.0,2,Good,8.0,7,5.0,6.0,9178.51,No
S26,23,Travel_Rarely,Research & Development,15,Bachelor,Marketing,High,Male,Medium,1,Manufacturing Director,Low,Single,1,Yes,17.0,Excellent,,80,0,1.0,2,Good,1.0,0,0.0,0.0,14877.41,Yes
S27,35,Travel_Frequently,Sales,17,Bachelor,Marketing,High,Male,Medium,2,Sales Executive,High,Divorced,1,Yes,16.0,Excellent,High,80,1,5.0,0,Good,3.0,2,2.0,2.0,16213.64,No
S28,40,Travel_Rarely,Human Resources,12,College,Human Resources,High,Male,Medium,4,Manager,,Divorced,0,No,11.0,Good,High,80,1,19.0,5,Better,24.0,7,0.0,11.0,13919.64,No
S29,40,Travel_Rarely,,23,Bachelor,Life Sciences,High,Male,High,2,Research Director,High,Married,5,No,13.0,Excellent,Medium,80,0,10.0,3,Better,8.0,7,1.0,3.0,15450.69,No
S30,37,Travel_Rarely,,2,College,Marketing,Medium,Male,High,2,Research Scientist,Low,Divorced,3,No,17.0,Excellent,Very High,80,1,,2,Better,4.0,4,0.0,4.0,17229.24,No
S31,34,Travel_Frequently,Research & Development,21,College,Marketing,High,Female,Medium,1,Research Scientist,High,Married,3,Yes,21.0,Excellent,Medium,80,0,2.0,3,Good,1.0,0,0.0,0.0,12739.31,Yes
S32,26,Non-Travel,Sales,8,Below College,Marketing,High,Male,High,2,Sales Executive,Medium,Married,0,No,15.0,Excellent,High,80,0,6.0,1,Good,5.0,4,1.0,4.0,16783.67,No
S33,48,Non-Travel,Research & Development,26,,Life Sciences,High,Male,Medium,3,Manager,Medium,Married,3,No,20.0,Excellent,,80,0,16.0,3,Better,11.0,7,5.0,7.0,7461.77,No
S34,51,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,,Male,Medium,1,Laboratory Technician,High,Married,6,No,15.0,Excellent,Medium,80,0,5.0,2,Good,,2,1.0,2.0,16896.83,No
S35,29,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,Very High,Female,High,1,Laboratory Technician,Low,Single,3,No,14.0,Excellent,Medium,80,0,11.0,2,Better,,2,1.0,2.0,15288.92,No
S36,35,Travel_Frequently,Research & Development,6,Bachelor,Marketing,Medium,Female,Medium,2,Research Scientist,Medium,Married,1,No,17.0,Excellent,Low,80,0,11.0,0,,10.0,7,4.0,7.0,20065.78,No
S37,48,Travel_Frequently,,10,Below College,Other,Very High,Male,Medium,3,Manufacturing Director,Medium,Married,2,No,14.0,Excellent,,80,0,25.0,2,Good,6.0,3,1.0,4.0,16507.44,No
S38,50,Travel_Frequently,Research & Development,15,Bachelor,Marketing,Medium,Male,Medium,2,Research Director,Low,Married,4,No,17.0,Excellent,Medium,80,0,9.0,2,Better,6.0,3,2.0,4.0,18606.18,No
S39,27,Non-Travel,Research & Development,4,College,Life Sciences,High,Male,Medium,1,Laboratory Technician,High,Married,0,No,13.0,Excellent,High,80,0,,2,Good,4.0,3,0.0,1.0,14205.84,No
S40,24,Travel_Rarely,Research & Development,23,Bachelor,,Medium,Female,Very High,1,Research Scientist,Very High,Married,1,Yes,11.0,Excellent,,80,2,6.0,3,Better,6.0,5,1.0,4.0,15109.9,No
S41,54,Travel_Frequently,Research & Development,18,Bachelor,Medical,High,Male,Medium,3,Manager,Medium,Married,5,No,16.0,Excellent,,80,0,20.0,3,,10.0,7,6.0,6.0,13066.26,No
S42,24,Travel_Rarely,,24,Bachelor,Other,,Female,Low,0,Human Resources,,Divorced,0,No,11.0,Excellent,,80,2,7.0,3,Better,8.0,8,0.0,8.0,12005.96,No
S43,29,Travel_Rarely,Sales,10,Bachelor,Marketing,Very High,Female,High,1,Sales Representative,Medium,Divorced,1,No,14.0,Excellent,Very High,80,2,2.0,2,Better,2.0,2,2.0,2.0,14286.27,No
S44,36,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,Very High,Male,Medium,2,Manufacturing Director,High,Married,1,No,13.0,Excellent,Medium,80,1,13.0,2,Good,13.0,7,,10.0,15378.32,No
S45,32,Travel_Frequently,Sales,13,,,High,Male,High,1,Sales Representative,High,Married,1,No,,Excellent,High,80,1,1.0,3,Better,1.0,1,0.0,0.0,14514.88,No
S46,29,Travel_Frequently,Research & Development,6,Bachelor,Life Sciences,High,Female,Medium,2,Laboratory Technician,Medium,Divorced,1,No,12.0,Excellent,,80,2,9.0,3,,,7,6.0,8.0,14061.8,No
S47,28,Travel_Rarely,Research & Development,2,College,Marketing,High,Male,High,1,Manufacturing Director,High,Divorced,4,No,17.0,Excellent,High,80,0,10.0,2,Good,5.0,3,2.0,3.0,16546.56,No
S48,37,Travel_Rarely,Human Resources,8,Below College,Other,High,Female,High,2,Healthcare Representative,Medium,Divorced,2,No,11.0,Good,High,80,0,20.0,4,Bad,10.0,0,4.0,7.0,11965.61,Yes
S49,31,Travel_Rarely,Research & Development,9,Master,Life Sciences,High,Female,Low,1,Research Scientist,Low,Single,0,Yes,15.0,Excellent,Very High,80,0,3.0,5,Better,2.0,2,2.0,2.0,16745.96,No
S50,30,Travel_Frequently,Sales,3,,Marketing,High,Male,Medium,2,Sales Executive,Medium,Divorced,1,No,12.0,Excellent,Medium,80,2,11.0,3,Good,10.0,7,2.0,6.0,14635.35,No
S51,21,Travel_Frequently,,3,,Life Sciences,Medium,Male,High,1,Sales Representative,Medium,Single,1,Yes,13.0,Excellent,High,80,0,0.0,2,Better,0.0,0,0.0,0.0,13540.11,No
S52,56,Travel_Rarely,Research & Development,25,Bachelor,Technical Degree,,Female,Low,1,Research Scientist,Medium,Divorced,4,No,12.0,Excellent,Very High,80,1,7.0,0,Good,3.0,1,0.0,1.0,11566.73,Yes
S53,30,Travel_Rarely,,1,Bachelor,Marketing,,Female,High,1,Research Scientist,Medium,Single,1,No,16.0,Excellent,Medium,80,0,0.0,4,,0.0,0,0.0,0.0,15853.42,No
S54,39,Travel_Rarely,,2,Bachelor,Life Sciences,,Female,High,1,Research Scientist,Very High,Married,2,No,20.0,Excellent,Low,80,0,9.0,3,Good,4.0,2,0.0,0.0,14053.51,No
S55,44,Travel_Rarely,Research & Development,3,College,,,Male,High,2,Research Scientist,Low,Divorced,5,No,12.0,Excellent,Medium,80,2,11.0,4,Better,6.0,5,2.0,5.0,13850.1,No
S56,46,Travel_Frequently,Research & Development,2,,Life Sciences,High,Male,High,1,Research Scientist,High,Married,0,No,,Excellent,Low,80,1,8.0,2,Better,7.0,5,,7.0,12383.54,No
S57,30,Non-Travel,Research & Development,1,,Medical,,Male,High,1,Healthcare Representative,Low,Single,0,No,18.0,Excellent,,80,0,2.0,3,Better,1.0,2,0.0,0.0,20710.6,No
S58,25,Travel_Rarely,,5,Bachelor,Marketing,Low,Male,Low,1,Research Scientist,High,Married,3,No,13.0,Excellent,Very High,80,0,3.0,2,Good,2.0,1,1.0,1.0,16097.2,No
S59,34,Travel_Rarely,Sales,10,Master,,,Male,High,1,Sales Representative,High,Married,1,Yes,19.0,Excellent,Very High,80,1,1.0,2,,1.0,1,0.0,0.0,14182.77,Yes
S60,30,Travel_Frequently,,3,Bachelor,,Medium,Male,High,2,Sales Executive,Low,Married,1,No,18.0,Excellent,Low,80,1,9.0,3,Better,6.0,4,0.0,4.0,14303.22,No
S61,30,Travel_Frequently,,4,Bachelor,Technical Degree,High,Female,Medium,1,Research Director,High,Married,1,No,13.0,Excellent,,80,1,6.0,3,Better,4.0,2,0.0,2.0,10555.08,No
S62,47,Travel_Rarely,Research & Development,1,Master,Medical,Medium,Male,Medium,3,Research Director,High,Married,1,No,14.0,Excellent,Medium,80,0,27.0,3,Good,26.0,4,4.0,8.0,13517.87,No
S63,35,Travel_Rarely,Research & Development,1,Bachelor,Medical,Very High,Male,Medium,2,Laboratory Technician,Very High,Married,0,No,12.0,Excellent,Medium,80,1,10.0,0,Better,9.0,7,0.0,0.0,13490.24,No
S64,40,Travel_Frequently,Research & Development,10,Below College,Other,Medium,Male,High,2,Manager,High,Married,1,Yes,13.0,Excellent,Low,80,0,13.0,2,,5.0,4,3.0,4.0,14268.37,No
S65,51,Travel_Rarely,Research & Development,1,Bachelor,,Very High,Male,High,5,Manager,High,Divorced,3,No,13.0,Excellent,High,80,1,,3,Good,,1,0.0,5.0,16812.5,Yes
S66,34,Travel_Rarely,Research & Development,27,College,,Medium,Female,High,1,Laboratory Technician,High,Married,1,No,17.0,Excellent,High,80,1,9.0,2,,9.0,8,5.0,7.0,21105.26,No
S67,40,Non-Travel,Research & Development,8,Bachelor,Medical,High,Male,Medium,2,Laboratory Technician,Medium,Divorced,3,No,11.0,Excellent,Medium,80,1,10.0,2,Better,7.0,6,0.0,6.0,14665.2,No
S68,49,Travel_Rarely,Research & Development,15,Bachelor,,Medium,Female,High,1,Manufacturing Director,High,Single,1,No,13.0,Excellent,High,80,0,5.0,3,Better,,3,0.0,1.0,17750.54,No
S69,46,Travel_Frequently,,10,Bachelor,Life Sciences,High,,High,2,Research Scientist,High,Married,1,No,17.0,Excellent,Low,80,1,9.0,3,Better,,6,5.0,7.0,12553.95,No
S70,35,Travel_Rarely,Research & Development,2,Bachelor,Marketing,Very High,Male,Medium,1,Research Scientist,High,Married,1,No,20.0,Excellent,Medium,80,0,9.0,2,,4.0,2,0.0,0.0,16180.22,No
S71,21,Travel_Rarely,Research & Development,5,Below College,Medical,High,Female,High,1,Research Scientist,Very High,Single,1,No,,Excellent,High,80,0,3.0,2,Better,2.0,2,2.0,2.0,14183.63,No
S72,25,Travel_Rarely,Sales,5,,Marketing,High,Female,Medium,2,Sales Executive,High,Single,1,Yes,11.0,Excellent,Very High,80,0,6.0,1,Better,6.0,4,0.0,3.0,14810.72,No
S73,49,Travel_Rarely,Research & Development,7,,Life Sciences,High,Female,High,3,Healthcare Representative,Medium,Divorced,3,No,14.0,Excellent,Medium,80,2,29.0,3,Better,,7,0.0,7.0,15663.06,No
S74,53,Travel_Frequently,Research & Development,2,Below College,Life Sciences,,Female,High,3,Manufacturing Director,Medium,Married,2,No,16.0,Excellent,,80,0,20.0,4,Better,3.0,2,1.0,2.0,16377.1,No
S75,39,Travel_Rarely,,3,Bachelor,Life Sciences,,Female,Medium,3,Sales Executive,High,Divorced,6,No,11.0,Excellent,Low,80,1,,2,Good,12.0,10,2.0,11.0,16026.27,No
S76,35,Travel_Rarely,Research & Development,8,College,Life Sciences,,Male,High,2,Research Scientist,Low,Single,1,No,12.0,Excellent,High,80,0,,2,Better,4.0,3,0.0,3.0,13647.64,Yes
S77,47,Travel_Frequently,Sales,9,,Life Sciences,High,Female,Low,4,Sales Executive,High,Married,7,No,11.0,Excellent,High,80,0,25.0,3,Bad,23.0,5,14.0,10.0,16397.39,No
S78,31,Non-Travel,Research & Development,1,Bachelor,Medical,Medium,,Low,2,Manufacturing Director,Medium,Married,0,No,12.0,Excellent,High,80,1,6.0,2,Good,5.0,4,1.0,4.0,14102.3,Yes
S79,38,Travel_Rarely,Research & Development,3,Bachelor,Medical,Medium,Male,Medium,1,Laboratory Technician,Medium,Married,2,No,13.0,Excellent,,80,1,5.0,3,Better,3.0,0,1.0,2.0,11500.5,No
S80,29,Travel_Rarely,,6,Master,Other,Medium,Female,Low,1,Laboratory Technician,Low,Married,1,Yes,11.0,Excellent,High,80,0,7.0,3,Good,7.0,7,1.0,7.0,12491.16,No
S81,35,Travel_Rarely,Research & Development,7,Bachelor,Marketing,,Male,Very High,3,Human Resources,High,Divorced,0,No,15.0,Excellent,,80,2,16.0,3,Good,15.0,9,4.0,7.0,13549.85,No
S82,30,Travel_Rarely,Research & Development,27,Bachelor,Other,,Male,Medium,3,Research Scientist,Medium,Married,2,No,12.0,Excellent,Medium,80,0,9.0,3,Better,4.0,2,1.0,3.0,14625.54,No
S83,37,Travel_Rarely,Sales,5,,Technical Degree,Very High,Female,High,2,Sales Representative,Very High,Married,3,No,14.0,Excellent,,80,1,21.0,6,Best,0.0,0,0.0,0.0,3382.41,No
S84,45,Travel_Rarely,Sales,9,,Marketing,Very High,Female,High,3,Sales Executive,,Divorced,4,Yes,11.0,Excellent,High,80,1,18.0,2,Good,4.0,3,0.0,1.0,11747.99,No
S85,20,Travel_Rarely,Research & Development,11,Bachelor,Life Sciences,High,Male,High,1,Sales Executive,Medium,Single,1,No,14.0,Excellent,High,80,0,0.0,0,Better,0.0,0,0.0,0.0,14195.55,No
S86,34,Travel_Rarely,,5,Bachelor,,High,Male,High,3,Sales Executive,Low,Single,0,Yes,21.0,Outstanding,Low,80,0,9.0,2,Good,7.0,6,3.0,6.0,11059.79,Yes
S87,47,Non-Travel,Sales,25,Bachelor,Life Sciences,Low,Female,High,1,Sales Executive,Very High,Divorced,2,No,16.0,Excellent,Medium,80,1,12.0,4,Good,6.0,5,0.0,0.0,14313.85,No
S88,44,Travel_Rarely,,17,Bachelor,Life Sciences,High,Male,Medium,3,Manufacturing Director,High,Married,3,No,15.0,Excellent,Medium,80,1,21.0,2,Better,14.0,13,1.0,7.0,14470.07,No
S89,40,Travel_Rarely,Research & Development,15,Bachelor,Life Sciences,Low,Male,Medium,3,Manufacturing Director,High,Married,1,No,13.0,Excellent,Very High,80,2,18.0,2,Better,18.0,15,14.0,12.0,15325.25,Yes
S90,34,Non-Travel,Sales,8,College,Life Sciences,High,Male,Medium,2,Sales Executive,High,Married,3,No,11.0,Excellent,Medium,80,0,15.0,5,Good,12.0,2,3.0,11.0,16664.03,No
S91,31,Travel_Rarely,Human Resources,7,College,Human Resources,Medium,Female,High,1,Human Resources,Medium,Divorced,2,No,12.0,Excellent,High,80,1,5.0,4,Better,4.0,2,0.0,2.0,11387.1,No
S92,30,Travel_Rarely,Research & Development,9,College,Medical,,Female,Medium,1,Laboratory Technician,Medium,Married,0,No,13.0,Excellent,Low,80,0,9.0,5,Better,9.0,0,0.0,7.0,13873.18,No
S93,51,Travel_Rarely,Sales,10,Master,,High,Male,Medium,5,Manager,Very High,Divorced,2,No,14.0,Excellent,High,80,1,,3,Good,18.0,2,0.0,,15361.27,No
S94,46,Travel_Rarely,Sales,4,Bachelor,Technical Degree,Very High,Female,Medium,2,Sales Representative,,Married,3,No,10.0,Good,High,80,0,27.0,7,Best,1.0,0,0.0,0.0,6688.13,No
S95,32,Non-Travel,,18,,Medical,Very High,Female,Low,1,Research Scientist,Medium,Married,1,Yes,23.0,Outstanding,Medium,80,0,,2,Good,3.0,1,2.0,0.0,15304.86,Yes
S96,37,Travel_Rarely,Sales,0,Below College,Human Resources,Low,Female,High,2,Sales Executive,Very High,Married,1,Yes,13.0,Excellent,Very High,80,1,19.0,0,Bad,19.0,16,4.0,12.0,14014.14,No
S97,48,Travel_Rarely,Human Resources,9,Bachelor,,High,Male,Low,3,Human Resources,Medium,Married,3,No,18.0,Excellent,High,80,1,11.0,1,Best,6.0,2,2.0,,9735.21,Yes
S98,42,Travel_Frequently,Research & Development,7,,,High,Female,Medium,4,Manager,High,Married,6,No,19.0,Excellent,Very High,80,0,23.0,2,Good,5.0,1,0.0,3.0,16429.55,No
S99,23,Travel_Frequently,Research & Development,1,Below College,Technical Degree,Low,Male,Medium,1,Sales Executive,Low,Single,2,Yes,11.0,Excellent,High,80,0,4.0,3,Better,3.0,2,0.0,2.0,10428.04,No
S100,36,Non-Travel,Research & Development,24,Master,Marketing,,Male,High,2,Research Scientist,High,Married,2,No,15.0,Excellent,Low,80,1,14.0,2,Better,12.0,10,9.0,6.0,14631.65,Yes
S101,30,Non-Travel,Research & Development,7,Below College,Medical,,Male,High,2,Research Scientist,High,Divorced,1,No,18.0,Excellent,Medium,80,1,7.0,3,Better,5.0,4,0.0,3.0,15349.22,No
S102,42,Travel_Frequently,Research & Development,7,,Marketing,Very High,Male,Medium,1,Sales Executive,Medium,Married,3,Yes,13.0,Excellent,High,80,1,14.0,3,Better,6.0,4,4.0,4.0,13232.03,No
S103,36,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,,,High,2,Sales Executive,High,Married,3,No,15.0,Excellent,High,80,0,,2,,12.0,6,5.0,6.0,14253.95,No
S104,34,Travel_Rarely,Research & Development,5,,Marketing,Medium,Male,High,2,Manufacturing Director,Medium,Divorced,4,No,20.0,Outstanding,High,80,1,7.0,0,,4.0,3,1.0,1.0,14857.25,No
S105,42,Travel_Rarely,Sales,10,College,Life Sciences,,Female,Medium,3,Sales Executive,Medium,Married,2,Yes,11.0,Excellent,Low,80,0,15.0,4,Good,10.0,5,2.0,5.0,12282.5,No
S106,27,Non-Travel,Research & Development,3,Bachelor,Medical,High,Female,Medium,1,Research Scientist,High,Divorced,1,Yes,15.0,Excellent,Very High,80,1,1.0,2,Good,1.0,1,,1.0,13451.73,No
S107,45,Travel_Rarely,Research & Development,16,College,Medical,Very High,Male,High,2,Manufacturing Director,Low,Married,2,No,20.0,Outstanding,Very High,80,0,12.0,4,Good,11.0,8,5.0,8.0,12807.59,No
S108,24,Travel_Rarely,,24,Below College,Medical,,Female,Medium,1,Laboratory Technician,Low,Divorced,1,No,13.0,Excellent,Medium,80,2,,2,,,1,0.0,3.0,13480.44,No
S109,45,Travel_Rarely,Sales,9,Bachelor,Marketing,Very High,Female,High,3,Sales Executive,Low,Divorced,4,Yes,12.0,Excellent,High,80,1,18.0,2,Better,5.0,4,0.0,2.0,11691.98,Yes
S110,48,Travel_Rarely,,19,Master,Medical,,Male,High,4,Manufacturing Director,Low,Married,2,No,15.0,Excellent,Medium,80,1,27.0,2,Good,6.0,1,0.0,2.0,16206.38,Yes
S111,46,Travel_Frequently,,8,,,,Male,High,1,Sales Executive,High,Married,2,Yes,11.0,Excellent,Medium,80,1,18.0,2,Better,8.0,6,6.0,6.0,13611.7,No
S112,45,Travel_Frequently,Research & Development,5,College,,,Male,Medium,1,Manufacturing Director,Medium,Married,2,No,16.0,Excellent,Medium,80,0,8.0,2,,,3,,2.0,13418.39,No
S113,42,Travel_Rarely,Research & Development,9,Master,Medical,,Female,High,2,Sales Representative,,Divorced,6,Yes,26.0,Outstanding,High,80,1,,2,Better,5.0,3,0.0,4.0,12253.17,No
S114,40,Travel_Rarely,Research & Development,6,,Life Sciences,Medium,Male,High,4,Manufacturing Director,High,Single,7,No,,Excellent,High,80,0,22.0,3,Better,20.0,6,5.0,13.0,16566.28,No
S115,50,Travel_Rarely,Research & Development,1,College,,High,Male,High,4,Manufacturing Director,High,Divorced,8,No,21.0,Excellent,High,80,1,,1,Good,5.0,4,1.0,3.0,15270.43,Yes
S116,36,Travel_Rarely,Research & Development,5,Master,Life Sciences,Medium,Male,High,1,Sales Executive,High,Married,2,No,14.0,Excellent,Medium,80,1,4.0,0,Bad,2.0,1,0.0,1.0,13728.76,Yes
S117,31,Travel_Rarely,Research & Development,26,Below College,Life Sciences,Low,Female,High,1,Research Scientist,High,Divorced,1,No,17.0,Excellent,Very High,80,1,,1,Good,5.0,2,4.0,3.0,17061.99,Yes
S118,33,Travel_Rarely,,5,Bachelor,Technical Degree,,Female,High,2,Sales Representative,Very High,Married,3,No,14.0,Excellent,High,80,1,26.0,7,Best,0.0,0,0.0,,4455.22,No
S119,36,Non-Travel,Research & Development,2,College,Life Sciences,High,Female,High,2,Manager,High,Married,1,No,14.0,Excellent,Very High,80,1,9.0,2,Better,9.0,8,5.0,,12516.24,No
S120,31,Travel_Rarely,Human Resources,5,College,Medical,High,,High,1,Human Resources,Low,Single,1,No,12.0,Excellent,High,80,0,8.0,2,,7.0,6,1.0,7.0,13763.45,No
S121,35,Travel_Rarely,Human Resources,5,,Human Resources,Medium,Male,Medium,1,Laboratory Technician,Low,Divorced,4,Yes,21.0,Excellent,,80,0,6.0,3,Better,3.0,2,0.0,2.0,14585.44,No
S122,55,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,High,Male,High,4,Manager,Very High,Single,2,Yes,13.0,Excellent,High,80,0,30.0,2,,5.0,4,1.0,2.0,17070.7,No
S123,57,Travel_Rarely,,23,,Marketing,High,Male,High,3,Human Resources,High,Married,1,No,,Excellent,,80,0,35.0,2,,33.0,8,12.0,5.0,15010.0,Yes
S124,27,Travel_Frequently,Research & Development,10,,Medical,High,Male,High,1,Sales Executive,Very High,Married,7,No,13.0,Excellent,Medium,80,0,5.0,3,Good,1.0,0,0.0,0.0,11667.48,Yes
S125,31,Travel_Frequently,Research & Development,1,Doctor,Life Sciences,High,Male,Very High,3,Manufacturing Director,Medium,Single,1,No,11.0,Excellent,Low,80,0,10.0,2,Better,10.0,8,4.0,7.0,13315.98,No
S126,32,Travel_Rarely,Research & Development,15,College,Medical,Medium,Male,High,1,Laboratory Technician,Low,Married,5,No,13.0,Excellent,High,80,1,4.0,3,Better,2.0,2,2.0,2.0,13337.75,No
S127,47,Travel_Frequently,Research & Development,7,Bachelor,Life Sciences,Low,Male,High,2,Manager,High,Divorced,4,No,11.0,Excellent,Very High,80,1,11.0,2,Better,7.0,4,0.0,2.0,17899.28,No
S128,34,Travel_Rarely,Research & Development,2,Master,Life Sciences,Medium,Female,Medium,1,Manufacturing Director,Very High,Married,1,No,13.0,Excellent,Very High,80,1,7.0,4,Good,7.0,6,5.0,6.0,12098.92,Yes
S129,37,Travel_Rarely,,2,Master,Marketing,High,Male,High,1,Research Scientist,High,Married,5,No,13.0,Excellent,Medium,80,1,5.0,0,Bad,1.0,0,0.0,1.0,18911.65,No
S130,36,Travel_Rarely,Sales,8,Bachelor,Life Sciences,Medium,Female,Medium,1,Sales Representative,Medium,Married,0,No,18.0,Excellent,High,80,0,5.0,2,Better,3.0,3,1.0,2.0,13515.6,No
S131,34,Travel_Rarely,Research & Development,19,College,,,Male,High,3,Manager,Medium,Divorced,6,No,17.0,Excellent,Medium,80,0,10.0,6,Good,7.0,7,6.0,2.0,16045.84,No
